"","Place","Statistic","Percent"
"1",1,"C1R (%)",53.72
"2",2,"C1R (%)",51.4666666666667
"3",3,"C1R (%)",47.0192307692308
"4",4,"C1R (%)",47.0689655172414
"5",5,"C1R (%)",47.6428571428571
"6",6,"C1R (%)",48.3111111111111
"7",7,"C1R (%)",45
"8",8,"C1R (%)",44.6428571428571
"9",9,"C1R (%)",42.1666666666667
"10",10,"C1R (%)",42.271186440678
"11",11,"C1R (%)",41.1964285714286
"12",12,"C1R (%)",38.4242424242424
"13",13,"C1R (%)",40.2380952380952
"14",14,"C1R (%)",42.8461538461538
"15",15,"C1R (%)",40.1372549019608
"16",16,"C1R (%)",40.7222222222222
"17",17,"C1R (%)",40.8571428571429
"18",18,"C1R (%)",38.2105263157895
"19",19,"C1R (%)",40.3488372093023
"20",20,"C1R (%)",36.1891891891892
"21",21,"C1R (%)",39.4
"22",22,"C1R (%)",40.9310344827586
"23",23,"C1R (%)",35.9411764705882
"24",24,"C1R (%)",37.3275862068966
"25",25,"C1R (%)",36.7125
"26",26,"C1R (%)",36.275
"27",27,"C1R (%)",35.8260869565217
"28",28,"C1R (%)",33.2307692307692
"29",29,"C1R (%)",38.3214285714286
"30",30,"C1R (%)",36.6111111111111
"31",31,"C1R (%)",37.0196078431373
"32",32,"C1R (%)",35.5121951219512
"33",33,"C1R (%)",35.5757575757576
"34",34,"C1R (%)",37.6
"35",35,"C1R (%)",29.15
"36",36,"C1R (%)",33.7391304347826
"37",37,"C1R (%)",33.8181818181818
"38",38,"C1R (%)",32.7105263157895
"39",39,"C1R (%)",34.58
"40",40,"C1R (%)",32.7021276595745
"41",41,"C1R (%)",27.9545454545455
"42",42,"C1R (%)",35.8048780487805
"43",43,"C1R (%)",33.9558823529412
"44",44,"C1R (%)",30.9583333333333
"45",45,"C1R (%)",33.4107142857143
"46",46,"C1R (%)",31.6326530612245
"47",47,"C1R (%)",29.8648648648649
"48",48,"C1R (%)",35.1
"49",49,"C1R (%)",28.2142857142857
"50",50,"C1R (%)",32.3157894736842
"51",1,"C1P (%)",88.66
"52",2,"C1P (%)",85.9833333333333
"53",3,"C1P (%)",86.9230769230769
"54",4,"C1P (%)",85.1379310344828
"55",5,"C1P (%)",82.875
"56",6,"C1P (%)",81.6
"57",7,"C1P (%)",83.05
"58",8,"C1P (%)",80.7857142857143
"59",9,"C1P (%)",84.5476190476191
"60",10,"C1P (%)",81.4576271186441
"61",11,"C1P (%)",84.2857142857143
"62",12,"C1P (%)",83.4545454545455
"63",13,"C1P (%)",80.6984126984127
"64",14,"C1P (%)",81.5192307692308
"65",15,"C1P (%)",81.4313725490196
"66",16,"C1P (%)",79.7592592592593
"67",17,"C1P (%)",77.8333333333333
"68",18,"C1P (%)",82.2982456140351
"69",19,"C1P (%)",78.1627906976744
"70",20,"C1P (%)",81.2702702702703
"71",21,"C1P (%)",81.7
"72",22,"C1P (%)",77
"73",23,"C1P (%)",76.0294117647059
"74",24,"C1P (%)",80.6896551724138
"75",25,"C1P (%)",80.9625
"76",26,"C1P (%)",79.225
"77",27,"C1P (%)",78.2608695652174
"78",28,"C1P (%)",77.5769230769231
"79",29,"C1P (%)",75.7142857142857
"80",30,"C1P (%)",77.1666666666667
"81",31,"C1P (%)",78.6666666666667
"82",32,"C1P (%)",76.5365853658537
"83",33,"C1P (%)",78.9090909090909
"84",34,"C1P (%)",76.2533333333333
"85",35,"C1P (%)",79.75
"86",36,"C1P (%)",77.4130434782609
"87",37,"C1P (%)",73.5681818181818
"88",38,"C1P (%)",81.9210526315789
"89",39,"C1P (%)",74.1
